,Company Names,Cars Names,Engines,HorsePower,Fuel Types,Seats,Torque,Price,Speed,Acceleration,Battery Capacity
0,FERRARI,SF90 STRADALE,V8,963.0,plug-in hybrid,2,800.0,1100000.0,340.0,2.5,3990.0
1,ROLLS ROYCE,PHANTOM,V12,563.0,petrol,5,900.0,460000.0,250.0,5.3,6749.0
2,Ford,KA+,1.2L Petrol,70.0,petrol,5,100.0,13500.0,165.0,10.5,1200.0
3,MERCEDES, GT 63 S,V8,630.0,petrol,4,900.0,161000.0,250.0,3.2,3982.0
4,AUDI,AUDI R8 Gt,V10,602.0,petrol,2,560.0,253290.0,320.0,3.6,5204.0
5,BMW,Mclaren 720s,V8,710.0,petrol,2,770.0,499000.0,341.0,2.9,3994.0
6,ASTON MARTIN,VANTAGE F1,V8,656.0,petrol,2,685.0,193440.0,314.0,3.6,3982.0
7,BENTLEY,Continental GT Azure,V8,550.0,petrol,4,900.0,311000.0,318.0,4.0,3996.0
8,LAMBORGHINI,VENENO ROADSTER,V12,750.0,petrol,2,690.0,4500000.0,356.0,2.9,6498.0
9,FERRARI,F8 TRIBUTO,V8,710.0,petrol,2,770.0,280000.0,340.0,2.9,3900.0
10,FERRARI,812 GTS,V12,789.0,petrol,2,718.0,350000.0,340.0,2.9,6496.0
11,FERRARI,PORTOFINO,V8,592.0,petrol,2,760.0,210000.0,320.0,3.2,3900.0
12,FERRARI,ROMA,V8,612.0,petrol,2,760.0,230000.0,320.0,3.4,3900.0
13,FERRARI,MONZA SP2,V12,789.0,petrol,2,719.0,1700000.0,340.0,2.9,6496.0
14,FERRARI,F8 SPIDER,V8,710.0,petrol,2,770.0,280000.0,340.0,2.9,3900.0
15,FERRARI,PORTOFINO M,V8,612.0,petrol,2,760.0,220000.0,320.0,3.2,3900.0
16,FERRARI,ROMA SPIDER,V8,612.0,petrol,2,760.0,240000.0,320.0,3.4,3900.0
17,TOYOTA,GR SUPRA,I4,382.0,petrol,2,500.0,53900.0,250.0,4.1,2998.0
18,TOYOTA,TOYOTA 86,BOXER-4,205.0,petrol,2,205.0,27000.0,226.0,6.4,1998.0
19,TOYOTA,TOYOTA  GR86,BOXER-4,228.0,petrol,4,250.0,30000.0,226.0,5.6,2387.0
20,TOYOTA,TOYOTA LAND CRUISER,V8,381.0,diesel,7,500.0,85000.0,220.0,6.7,5663.0
21,TOYOTA,TOYOTA SEQUOIA,V8,381.0,petrol,7,651.0,50000.0,200.0,6.9,5663.0
22,NISSAN,GT-R,V6,600.0,petrol,4,637.0,113000.0,315.0,2.9,3799.0
23,NISSAN,370Z,V6,332.0,petrol,2,366.0,30000.0,250.0,4.7,3696.0
24,NISSAN,Z PROTO,V6,400.0,petrol,2,475.0,40000.0,290.0,4.1,2998.0
25,NISSAN,ALTIMA,I4,188.0,petrol,5,380.0,25000.0,225.0,7.3,2488.0
26,NISSAN,MAXIMA,V6,300.0,petrol,5,354.0,35000.0,240.0,5.8,3498.0
27,NISSAN,SENTRA,I4,149.0,petrol,5,240.0,20000.0,200.0,8.2,1998.0
28,NISSAN,ROGUE,I4,201.0,petrol,5,270.0,28000.0,200.0,7.5,2488.0
29,NISSAN,PATHFINDER,V6,284.0,petrol,7,351.0,35000.0,225.0,6.5,3498.0
30,NISSAN,FRONTIER,V6,310.0,petrol,5,381.0,30000.0,180.0,6.8,3799.0
31,NISSAN,TITAN,V8,400.0,petrol,5,560.0,40000.0,200.0,5.9,5598.0
32,ASTON MARTIN,VALKYRIE,V12,1160.0,hybrid,2,900.0,3200000.0,402.0,2.5,6496.0
33,ASTON MARTIN,VALHALLA,V8,1000.0,hybrid,2,1000.0,1100000.0,362.0,2.5,3996.0
34,ASTON MARTIN,DBS SUPERLEGGERA,V12,715.0,petrol,2,900.0,316000.0,340.0,3.4,5204.0
35,ASTON MARTIN,DB11,V12,600.0,petrol,4,700.0,208000.0,322.0,3.9,5204.0
36,ASTON MARTIN,VANTAGE ,V8,503.0,petrol,2,685.0,142000.0,313.0,3.6,3996.0
37,ASTON MARTIN,DBX,V8,542.0,petrol,5,700.0,189000.0,291.0,4.5,3996.0
